"","Date","Hertfordshire","Central Bedfordshire","Birmingham","Solihull","Worcestershire","Sandwell","Walsall","Warwickshire","Dudley","Staffordshire CC","Bath and North East Somerset, North Somerset and South Gloucestershire","Somerset","Wiltshire","Dorset CC","Blackburn with Darwen","East Lancashire","Mid Lancashire","North Yorkshire CC","Chorley and West Lancashire","Bradford","Leeds","Calderdale and Kirklees","Bournemouth and Poole","Central Hampshire","Greater Manchester North East","Greater Manchester North West","Brighton and Hove","East Sussex CC","West Sussex (South West)","West Sussex (North East)","Bromley","Lewisham and Southwark","West Kent","Bexley and Greenwich","Kent Thames Gateway","Bristol, City of","East Cumbria","West Cumbria","Northumberland","Cambridgeshire CC","West Essex","North and West Norfolk","Suffolk","Essex Haven Gateway","Cardiff and Vale of Glamorgan","Gwent Valleys","Central Valleys","Monmouthshire and Newport","Bridgend and Neath Port Talbot","Powys","Cheshire West and Chester","Flintshire and Wrexham","Wirral","Conwy and Denbighshire","Heart of Essex","Essex Thames Gateway","Thurrock","Barking & Dagenham and Havering","Croydon","Merton, Kingston upon Thames and Sutton","East Surrey","East Kent","Mid Kent","Coventry","Leicestershire CC and Rutland","West Northamptonshire","Cheshire East","Shropshire CC","Derby","South and West Derbyshire","East Derbyshire","North Nottinghamshire","South Nottinghamshire","Durham CC","Tyneside","Sunderland","Darlington","Hartlepool and Stockton-on-Tees","Barnsley, Doncaster and Rotherham","North and North East Lincolnshire","East Riding of Yorkshire","Lincolnshire","Devon CC","Wolverhampton","Hackney and Newham","Camden and City of London","Redbridge and Waltham Forest","Haringey and Islington","Enfield","Barnet","Cornwall and Isles of Scilly","Blackpool","Lancaster and Wyre","Gloucestershire","Herefordshire, County of","Oxfordshire","West Surrey","North Hampshire","Berkshire","Brent","Ealing","Harrow and Hillingdon","Buckinghamshire CC","Kingston upon Hull, City of","Breckland and South Norfolk","Hounslow and Richmond upon Thames","Liverpool","East Merseyside","Sefton","Leicester","North Northamptonshire","Gwynedd","Isle of Anglesey","Wakefield","Luton","Manchester","Greater Manchester South East","Greater Manchester South West","Medway","Milton Keynes","Bedford","Nottingham","Norwich and East Norfolk","Westminster","Kensington & Chelsea and Hammersmith & Fulham","Peterborough","Plymouth","Portsmouth","South Hampshire","Isle of Wight","Sheffield","Swansea","South West Wales","Lambeth","Swindon","Southampton","Southend-on-Sea","Stoke-on-Trent","Wandsworth","Telford and Wrekin","Torbay","South Teesside","Warrington","York"
"1","1995-02-01",1.0236,0.9985,1.0148,0.991,1.0033,0.969,1.002,1.015,0.9941,1.0109,1.0162,1.0214,1.0323,0.9937,0.9946,0.9994,0.9809,0.9987,1.0317,1.0087,1.0168,0.9908,1.0231,0.997,1.0063,1.0232,0.9889,0.9893,0.9955,1.0047,1.0044,0.971,1.0161,0.997,1.0259,0.993,1.0163,1.0598,0.9909,1.0094,1.0316,0.9876,1.0163,1.0456,1.0064,0.9368,1.001,1.015,0.9934,0.9854,1.0437,1.0215,0.9953,0.9821,0.9912,0.9889,0.9972,1.0036,1.0035,1.0076,0.9976,0.994,1.0168,1.0407,1.0013,1.0105,0.9913,1.0271,0.9624,0.9908,0.9604,0.9857,0.9884,0.9978,0.9877,0.9636,1.0792,0.9911,1.0097,1.02,1.0305,0.9996,0.9932,0.9547,1.0359,1.0076,1.0063,0.9892,1.0416,1.0156,1.038,1.0592,1.0137,1.0178,0.9896,1.0261,0.9926,1.0112,1,1.0058,1.0444,0.9883,1.0018,0.9929,1.0109,0.9951,1.0988,1.01,0.9866,1.0252,1.0463,1.0734,1.2268,1.0208,0.9614,1.0598,0.9911,0.9902,0.9984,1.0212,1.0372,0.9749,1.0365,1.0563,1.0014,1.0218,0.9857,0.9956,1.0138,0.9933,0.9872,1.0028,0.957,1.029,0.9932,0.9831,1.0555,1.0452,0.9736,0.9971,0.9993,0.9619,1.0403,1.0209
"2","1995-03-01",1.0096,1.0069,1.0265,0.996,1.0101,0.9899,0.9795,1.0031,0.9871,1.0159,1.0321,1.0217,1.0315,1.002,0.9986,0.9992,0.9935,1.0071,1.0272,0.9938,1.0281,1.0062,1.0244,1.0011,1.0238,1.0336,1.0226,0.9892,1.0009,1.0052,1.0111,0.9966,1.0233,1.0123,1.0194,1.0445,1.0253,1.0615,1.0258,1.0207,1.0375,0.9685,1.0155,1.0374,1.001,0.973,0.9842,0.9895,1.0003,0.9674,1.0356,1.0071,0.9737,0.9963,1.0273,1.0258,0.9821,1.0121,0.9952,1.0178,1.0123,1.0007,0.9938,1.0093,0.994,1.0053,0.9699,1.0005,1.0204,0.9874,0.9824,1.0006,0.9856,1.0016,0.9987,0.9956,1.0596,0.9799,1.0142,0.991,0.9984,1.0008,0.9883,0.9895,1.0625,1.0248,1.0116,1.0491,1.0461,0.989,1.008,1.0743,0.9883,1.0002,0.9616,1.0194,0.9903,1.0076,1.0026,1.0028,1.015,1.011,1.015,1.0179,1.0074,1.0164,1.0851,1.015,0.9771,1.0019,1.0239,1.0252,1.1096,1.0116,0.982,1.1032,0.991,0.9828,0.9971,0.9974,1.0295,0.9955,1.0527,1.0453,1.0203,1.0325,0.9886,0.9897,1.0139,0.9833,0.9887,1.0051,0.9677,1.0401,0.9918,0.972,1.0217,1.0343,1.0039,0.9867,0.9855,0.9658,1.049,1.0388
"3","1995-04-01",1.0233,1.0011,0.9907,0.9766,1.0056,1.0013,0.9638,0.996,1.0077,1.0013,1.0279,1.0196,1.0277,1.0026,1.0012,0.982,1.0177,1.0139,1.0303,0.9888,1.0218,0.9807,1.0179,0.9901,1.0098,1.0256,0.9956,1.0093,1.0025,1.0079,1.0243,0.9943,1.0169,1.0203,1.0417,1.0244,1.0235,1.0537,1.0271,1.019,1.0484,0.9719,1.0138,1.0201,0.9798,0.949,0.991,1.006,1.0015,0.9313,1.0692,1.0142,0.9846,0.9987,1.0005,1.0137,0.9818,1.0047,0.9979,1.0072,1.0019,0.9893,0.9989,0.9866,1.0039,1.0191,0.9709,1.0244,0.9762,1.0041,0.9867,0.9713,0.9823,0.995,1.0128,0.9776,1.0831,0.9966,0.9987,0.9926,1.0304,0.9999,0.9973,0.9561,1.0168,1.0458,1.0067,1.0077,1.0496,1.003,1.0183,1.0634,1.0103,0.9995,0.9686,1.0132,1.0067,1.0226,0.9985,1.0168,1.0204,1.0187,1.0096,1.0612,0.9882,1.0058,1.0661,0.9967,0.996,1.0093,1.0291,1.0709,1.1391,1.0512,0.9751,1.0946,0.9575,1.0072,0.9779,0.9895,1.0223,1.0201,1.0132,1.056,0.9996,1.0315,0.9736,0.9991,1.0192,1.0046,0.983,0.9966,0.9737,1.0098,0.9914,1.0031,1.0153,1.0162,1.0271,0.9688,0.9972,0.9907,1.0229,1.0457
"4","1995-05-01",1.0231,1.0122,1.0075,0.9814,0.9995,0.9978,0.9802,1.0085,0.9858,1.0139,1.0283,1.0249,1.0324,1.0063,1.006,0.9536,1.0151,1.0046,1.0587,1.0076,1.0084,0.9835,1.0072,1.0019,1.0131,1.0555,1.005,1.0005,1.0127,1.0103,1.0001,0.9802,1.017,1.0336,1.0352,0.9886,1.0416,1.0129,1.0152,1.0171,1.0303,1.0036,1.0206,1.0496,0.9958,0.9678,1.0518,0.9831,1.0131,1.0146,1.0516,1.0052,0.9481,0.9637,1.0207,0.9907,0.9979,0.999,1.0032,1.0266,0.998,0.9817,1.0124,1.0068,1.0031,1.0155,0.9986,1.0035,0.9842,1.0149,0.9589,0.9669,0.9904,1.0235,0.9917,1.0108,1.0616,0.9853,1.021,1.003,1.0079,0.9998,0.9859,0.9587,1.0834,1.0371,0.9973,1.06,1.0382,1.01,1.0273,1.0713,1.0179,1.0151,0.9852,1.0173,1.0022,1.0299,0.9966,1.0384,1.0306,1.0016,1.0039,0.987,1.0232,1.0551,1.0799,0.99,1.0181,0.9974,1.0544,1.0549,1.2454,1.0117,0.9705,1.1074,1.0094,0.9675,0.9819,1.0057,0.9967,0.995,1.0291,1.0155,0.9975,1.0339,0.9737,0.9863,1.0193,0.9921,0.9884,1.078,0.96,1.0113,0.9978,0.9875,1.0231,1.039,1.0213,1.0049,0.9746,0.9821,1.0307,1.0291
"5","1995-06-01",1.0256,1.0018,1.008,0.9981,1.0206,0.9977,0.9805,1.0162,1.0309,1.014,1.0363,1.0292,1.0366,1.0022,0.9683,0.979,0.9812,1.0082,1.0295,1.0013,1.0221,0.9821,1.0223,0.9985,1.0461,1.031,1.0342,1.0009,1.0209,1.0187,1.0101,1.0391,1.0116,1.0425,1.054,1.0134,1.0523,1.0381,1.0005,1.0217,1.0346,0.9686,1.0192,1.0417,0.9929,0.9848,0.9957,1.0145,1.0238,0.9662,1.0713,1.0068,0.9749,1.0071,1.0065,1.0228,0.968,1.0156,1.0015,1.0489,1.0122,0.9901,1.0108,1.0026,1.0223,1.024,0.999,0.9987,1.0112,1.004,0.9973,0.9991,0.998,1.0072,1.0028,0.9934,1.0422,0.9909,1.0197,1.0131,1.0038,0.9917,1.0053,0.9749,1.0342,1.0637,1.0181,1.0662,1.0596,1.0107,1.0339,1.0418,0.9788,1.0186,0.9898,1.0415,1.0151,1.0158,1.0066,1.0347,1.0642,0.9971,1.0134,1.0212,1.0199,1.0389,1.0705,1.0185,0.9438,1.0309,1.0657,1.0594,1.1643,1.0204,0.9732,1.0663,0.9813,0.9909,0.9822,1.0142,0.9861,0.9815,1.0335,1.013,1.0086,1.0148,0.9777,0.9802,1.0314,1.0108,0.9781,0.9968,0.986,1.035,1.0234,0.9778,1.002,1.0197,1.0149,1.019,1.0018,0.9788,1.0295,1.0319
"6","1995-07-01",1.0185,0.9975,1.0196,0.967,1.0163,1.0001,0.9332,1.0157,0.9863,1.0084,1.0031,0.9985,1.0356,1.0057,1.0086,0.9887,0.9936,1.0005,0.9814,1.0028,1.0077,1.0024,1.023,1.0039,1.0192,1.0349,1.0135,1.0009,1.0249,0.9908,1.0078,1.013,1.0165,1.0314,1.0319,1.0081,1.0258,1.0132,1.0325,1.031,1.0486,1.0143,1.0046,1.0415,0.9768,0.9589,0.9884,1.0071,1.0121,1.0453,1.0494,1.0059,0.9775,0.9455,1.0221,1.0193,0.9434,0.9829,1.0113,1.017,1.0002,0.9778,1.0124,0.9965,0.997,1.0162,0.9874,1.0226,1.0041,0.9934,0.9811,0.9935,0.9814,1.0027,0.9843,0.9771,1.0582,0.9821,1.013,0.9908,0.9845,0.9966,0.9889,0.9705,1.0263,1.0259,1.0097,1.0465,1.024,1.0275,1.0206,1.0364,0.9855,1.0069,0.9649,1.0108,1.0044,1.0157,1.0016,1.0504,1.0501,1.0017,1.0123,1.0038,1.0132,1.046,1.0531,0.9782,0.9747,1.0353,1.0363,1.024,1.2842,1.0253,0.9786,1.0483,0.9746,0.9732,0.9819,0.9978,1.0074,0.9618,1.0034,1.0625,1.0293,1.0194,0.9755,0.9761,1.0138,1.0212,0.9728,1.0021,0.9969,1.0455,0.9929,0.9924,1.0139,1.0096,1.0391,0.9765,0.9785,0.9697,1.0196,1.0238
"7","1995-08-01",1.0212,0.9968,0.998,1.0025,1.0086,0.9928,0.9593,0.9989,0.9997,0.9982,1.0191,1.0038,1.0367,0.9869,0.9702,0.9581,1.0008,0.9995,1.0131,0.9878,1.0005,0.9707,1.0329,0.9984,1.0047,1.0213,1.0381,1.0112,1.0099,1.0089,1.0146,1.0065,1.0034,1.0016,1.0419,0.9939,0.9803,1.0545,1.015,1.0168,1.0263,0.9868,1.0125,1.035,0.9846,1.0054,1.0055,0.9971,0.9878,0.9859,1.0611,1.008,0.9733,0.9367,1.0142,1.0059,0.9771,1.0231,0.9859,1.029,1.0178,0.9909,1.0099,0.9983,0.9968,1.0108,0.9809,0.9984,0.9753,0.9987,0.9704,0.9715,0.9866,1.0085,0.976,1.008,1.0753,0.9574,1.0062,0.9925,1.0065,0.987,0.9941,0.9278,1.0866,1.0687,1.0161,1.0399,1.0335,1.0179,1.0152,1.062,0.9944,1.0079,0.9634,1.0339,0.9949,1.0157,0.9938,1.0635,1.0456,0.9971,1.0113,1.0118,1.0049,1.0382,1.0623,0.9944,0.9803,1.0142,1.0144,1.1204,1.2833,1.0261,0.9651,1.0548,0.9824,0.9851,0.9831,1.0128,1.0046,0.9875,1.0461,1.0493,1.0319,0.9914,0.9875,0.9801,1.0209,1.0243,0.9769,1.0022,0.9815,1.0672,1.0157,0.9849,0.997,1.0512,1.0334,0.9808,0.9965,0.9463,1.0399,1.004
"8","1995-09-01",1.0155,0.9896,1.0065,0.9788,1.0121,1.0134,0.9843,0.9905,0.9785,1.0055,1.0255,1.0286,1.032,0.9809,1.0447,0.9854,1.001,0.9988,0.9957,0.982,1.0162,0.9841,1.017,1.0033,1.0121,1.0201,1.0066,0.9983,1.0113,0.9983,0.999,0.9963,1.0331,1.0092,1.0235,1.0127,1.0048,1.0405,1.0129,1.0253,1.0336,0.9962,1.0118,1.0327,0.9777,0.987,0.9901,0.9842,1.0369,0.9529,1.0678,1.0503,0.9363,0.9714,1.0085,1.0239,0.9713,0.9961,1.014,1.0347,1,0.9839,1.0032,0.9744,1.014,1.0304,0.9909,1.005,0.9914,1.0005,0.9697,0.9973,0.9891,0.999,0.9871,1.0013,1.0638,0.9676,1.0175,0.9721,1.0078,0.9998,0.9883,0.9853,1.0914,1.0606,1.0128,1.0518,1.0223,1.0232,1.0165,1.0373,0.9757,1.0182,0.9757,1.0298,1.0054,1.0183,1.0034,1.0647,1.0332,1.0073,1.0143,0.9967,1.0027,1.0631,1.0665,0.9945,0.9895,1.0105,1.0333,1.0806,1.2632,1.0187,0.979,1.0501,0.9976,0.9793,0.9744,1.0135,1.0409,0.9933,1.0237,1.003,1.0329,1.0018,0.9664,0.982,1.0237,1.0068,1.0031,0.9551,1.0228,1.062,1.0137,0.9929,1.0204,0.9826,1.0309,0.9824,0.9847,0.9575,1.0445,1.0234
"9","1995-10-01",1.0164,0.9877,1.0405,0.9712,1.0203,0.9641,0.9872,0.9945,0.9925,1.0098,1.0097,0.9903,1.0285,1.0021,0.9652,0.9588,1.0015,1.0135,0.9971,0.9869,1.0215,0.9973,1.0399,1.0115,0.9821,1.0189,1.0236,0.9996,1.0064,1.0017,1.0144,1.027,1.0112,1.0215,1.0321,0.9995,1.0065,1.036,0.9911,1.0132,1.0203,0.9965,1.0068,1.0221,0.9784,0.9862,0.9738,0.9824,0.9968,0.9664,1.0456,0.9952,0.947,0.9455,1.0143,1.0004,0.94,0.989,0.9943,1.0319,1.0045,0.9913,1.0099,1.0039,1.0022,1.0043,0.9958,1.0132,0.9977,0.9878,0.9788,0.9794,1.0036,1.0263,0.9799,1.0302,1.0496,0.9485,1.0025,0.9886,1.0033,0.9853,0.9898,0.9691,1.0536,1.0688,1.0018,1.1163,1.0426,1.0018,1.0328,1.0141,0.9589,1.0031,0.9633,1.0292,1.0096,1.0133,1.0032,1.0598,1.04,1.0184,1.0153,0.9807,1.0138,1.0738,1.0325,0.9737,0.9385,1.0402,0.9987,1.0647,1.278,1.0173,0.9555,1.0666,0.9875,0.9951,0.9796,1.003,1.0149,0.9714,1.0317,1.1238,1.0312,0.9773,0.9631,0.9872,1.02,1.0076,0.973,0.9438,0.9696,1.0372,0.9958,0.9903,0.9997,1.0232,1.0415,0.9871,0.9739,0.9717,1.0375,1.0324
"10","1995-11-01",1.0348,1.0116,1.0172,0.9662,1.0209,0.9873,0.9513,1.0091,0.9979,1.0124,1.0139,0.992,1.0361,1.0111,0.99,0.9854,0.9934,1.0184,1.0135,1.001,1.0149,0.9948,1.0413,1.0116,1.0133,1.0367,1.0473,0.9867,1.0097,1.0027,1.0252,1.0217,1.015,1.0178,1.0229,1.0049,1.0066,1.0237,1.0279,1.0352,1.0385,0.9888,1.0068,1.0313,0.9793,0.9912,0.9852,1.0052,1.0339,1.0262,1.0608,0.9893,0.9338,0.9885,1.0164,1.0263,0.9659,0.9834,0.9999,1.0325,1.0207,1.0041,0.9937,1.0169,1.0123,1.0165,0.967,1.0204,0.9743,0.998,0.9675,0.9874,0.978,1.0048,0.9919,1.002,1.097,0.9454,1.0155,0.9729,1.0062,1.0011,0.982,0.9441,1.0787,1.0585,1.0077,1.0676,1.037,1.011,1.0255,1.0491,0.9945,1.0122,0.9731,1.0245,1.0158,1.0192,1.0136,1.065,1.0385,0.9903,1.0195,1.0058,0.998,1.057,1.0291,0.9845,0.9961,1.0166,1.0076,1.0937,1.2443,1.0101,0.9691,1.0658,0.9997,0.9642,0.9905,0.9974,1.0231,0.9846,1.0549,1.094,1.0596,1.0197,0.9331,1.0043,1.0224,1.0124,0.9817,1.0051,1.0026,1.0559,0.9978,1.0032,1.0182,1.0087,1.0017,0.9932,0.974,0.9692,1.0339,1.0272
"11","1995-12-01",1.0376,1.0242,1.0282,0.9942,1.0242,0.9972,0.998,1.0287,0.9959,1.0055,1.0359,0.9906,1.0328,1.0051,0.9619,0.9998,0.9816,1.0162,1.0083,1.0088,1.0082,0.9739,1.0265,1.0098,1.0301,1.0105,1.0438,1.0101,1.0251,1.0122,1.0316,1.028,1.0176,1.0311,1.0271,1.059,1.0455,1.0082,0.9908,1.0278,1.046,0.95,1.011,1.0426,0.9797,0.9746,0.9981,1.0057,1.0109,1.0091,1.067,1.0003,0.9299,0.9571,1.0039,1.0481,0.9781,0.9971,1.0076,1.0601,1.0028,1.0044,1.0223,1.0053,1.018,1.011,0.9889,1.0147,0.9976,1.0007,0.9683,1.0041,0.9891,1.0441,0.9958,1.0042,1.0798,0.9673,1.0225,0.9765,1.0064,0.9951,0.9937,0.9384,1.0723,1.0454,1.0146,1.0914,1.0619,1.0196,1.0364,1.0192,1.0094,1.0157,0.9965,1.0304,1.0131,1.0226,1.0219,1.1235,1.0814,1.0094,1.0275,0.9923,0.9841,1.0558,1.0491,0.9973,1.0302,1.0204,1.0498,1.1273,1.3949,0.9988,0.976,1.0945,0.9842,0.9792,0.9626,1.0228,1.0097,0.981,1.0401,1.0665,1.0357,1.0301,0.9658,0.9975,1.0409,1.0042,0.9853,0.9987,0.9991,1.0658,1.022,1.017,1.0158,1.0472,1.0475,0.9712,1.0052,0.9689,1.0287,1.0374
"12","1996-01-01",1.0301,1.0082,1.0031,1.0006,1.0078,0.9666,0.9524,1.009,1.012,0.9968,1.0274,1.0098,1.0243,1.0035,0.9895,0.9979,0.9502,0.9924,0.9928,0.9939,1.0029,0.9613,1.0357,1.0146,1.0198,1.0069,1.0309,1.0123,1.0236,1.0061,1.0278,1.057,1.0162,1.0217,1.0285,1.0283,1.0045,1.0113,0.9838,1.0084,1.0566,0.9682,0.9852,1.0187,0.9555,0.9485,1.0192,1.0054,0.9981,1.0328,1.0627,0.9906,0.9298,1.0339,0.996,1.0072,0.9576,0.9921,1.0078,1.0313,1.0018,1.0054,1.0051,0.9579,1.0123,1.0198,0.9849,0.9819,0.9715,0.9854,0.9979,0.952,1.0023,1.0352,0.9709,0.9977,1.0485,0.9851,0.9921,0.9865,0.9819,0.9956,0.9916,0.9453,1.0825,1.0611,1.0185,1.086,1.0353,1.0218,1.0267,0.9913,0.9871,0.9948,0.9787,1.0231,1.0138,1.0087,1.0116,1.086,1.0735,1.0193,1.0124,0.9928,0.9794,1.0585,1.0109,0.9498,1.0296,1.01,1.0178,1.0829,1.3328,1.0021,0.9957,1.0738,0.9672,0.9749,0.9752,1.0031,1.0241,0.9685,0.9897,1.1008,1.0744,1.0127,0.9584,1.0023,1.0283,1.0228,0.9825,0.9884,1.0275,1.09,0.9954,0.9862,1.0214,1.0343,1.0252,1.0139,1.0082,0.9537,1.0335,1.0144
"13","1996-02-01",1.0305,0.991,1.0143,0.9805,1.0333,0.9915,0.9816,1.0087,0.9768,1.006,1.0307,1.0115,1.0313,1.0005,0.9646,0.9902,0.9941,0.9957,1.0075,0.9752,1.0139,0.9738,1.0429,1.0197,1.0441,1.0432,1.0583,1.0239,1.0221,0.9977,1.0342,1.029,1.0133,1.0132,1.025,1.0578,1.0429,1.031,1.0064,1.0101,1.0191,0.9681,1.0076,1.0372,1.0056,0.9479,1.0219,0.9693,1.0236,1.0061,1.0644,1.0493,0.9812,0.9929,1.0097,0.9913,0.9564,1.0097,1.0211,1.0526,1.0049,1.0048,1.0083,1.0209,1.0004,1.0166,0.9697,0.9942,0.9632,1.0079,0.9519,0.969,0.9835,0.9937,0.978,0.9897,1.1136,0.9913,1.0098,1.0008,0.9866,0.9759,0.9856,0.9803,1.0992,1.106,1.0365,1.139,1.0102,1.0513,1.0411,1.0003,0.9809,1.0199,0.9843,1.047,1.0186,1.0151,1.0182,1.0945,1.0931,1.0225,1.0182,1.0124,0.9663,1.0785,1.0673,0.9885,0.977,1.0126,1.0534,1.1165,1.3965,1.02,1.0151,1.0994,0.9706,1.0161,0.9788,1.0266,1.0118,0.956,1.0204,1.0745,1.0324,1.007,0.9359,0.9989,1.0245,1.0146,0.9854,0.973,0.9571,1.0454,1.0059,1.0275,1.0051,1.0249,1.0592,0.9572,0.9868,0.9097,1.0274,0.9949
"14","1996-03-01",1.0297,1.0073,0.9993,0.9808,1.022,1.0156,0.9684,0.9925,0.9908,1.0239,1.0281,0.9992,1.0339,1.0104,1.0137,0.959,0.9847,0.9946,0.9862,0.9814,0.9948,0.9784,1.0246,1.0321,1.0361,1.0318,1.0506,1.01,1.0315,1.0307,1.0232,1.0588,1.0283,1.0353,1.0168,1.0269,1.0151,1.0436,1.0014,1.0283,1.0299,0.9656,1.0109,1.0329,0.9825,0.9853,0.9869,0.9993,0.9906,1.0491,1.0745,1.0069,0.93,0.9397,1.0302,1.0063,0.9713,1.0046,1.021,1.0452,1.0241,1.0091,1.0169,0.9691,1.0137,1.0301,0.9838,1.0244,0.9841,0.9975,0.9673,1.0056,0.9935,0.9944,0.9851,1.0252,1.0878,0.9634,1.0113,0.9799,0.996,1.0027,1.0019,0.9499,1.0864,1.0744,1.0209,1.1208,1.0812,1.0436,1.0247,1.0162,0.9789,1.0373,0.9737,1.0442,1.0269,1.0341,1.0179,1.1129,1.0933,1.0123,1.0325,0.9853,1.0012,1.0435,1.0724,0.9947,0.981,1.0156,1.02,1.0836,1.3621,1.0297,0.9577,1.0992,0.9672,0.9921,0.9763,1.0344,1.0045,0.9845,1.0301,1.0323,1.072,1.0008,0.9408,1.0142,1.044,1.0126,0.9841,1.0162,1.0055,1.0373,1.0128,1.0045,1.0104,1.0057,1.0466,0.9573,0.9857,0.9433,1.0209,1.0291
"15","1996-04-01",1.0325,1.0079,1.0207,0.9933,1.0149,1.0076,0.9558,1.0066,1.0208,1.0133,1.0286,1.0238,1.0571,1.0304,0.946,0.9965,0.9768,1.0012,0.9751,0.984,0.9958,0.9876,1.0247,1.0344,0.9762,1.0182,1.0593,1.0069,1.0362,1.005,1.0452,1.0324,1.038,1.024,1.0576,1.0386,1.0389,0.9898,0.9962,1.028,1.0231,0.9622,1.0218,1.0307,0.9818,0.9565,0.9851,0.9924,1.0204,0.9661,1.0509,1.0214,0.9351,0.9995,1.0143,1.0233,0.9725,1.0094,1.0621,1.0494,1.0331,1.0137,1.0216,1.008,1.0192,1.03,0.9799,1.0122,0.9989,0.9988,0.9679,0.9638,0.9687,1.0117,0.9825,1.0063,1.068,0.9795,1.0118,0.9787,1.0072,0.9963,0.9983,0.9518,1.0969,1.0787,1.0362,1.0656,1.0703,1.1488,1.0193,0.9995,0.9645,1.0247,0.9576,1.0401,1.0281,1.0288,1.0181,1.122,1.0502,1.0414,1.0219,0.99,0.9881,1.0735,1.0517,0.989,1.0015,0.988,1.0325,1.0633,1.3391,1.0275,0.9638,1.1077,0.9711,0.9782,0.9637,1.0205,1.0277,0.9555,1.0286,1.0675,1.0652,1.0066,0.9457,1.0049,1.031,1.0191,0.984,0.9819,1.008,1.1073,1.0002,1.0044,1.028,0.9914,1.0681,0.9924,1.0129,0.9795,1.0537,1.0257
"16","1996-05-01",1.0475,1.0144,1.0153,0.9859,1.0439,1.0096,0.9825,1.0194,0.9713,1.0111,1.0349,1.0224,1.045,1.0111,0.9791,0.9647,0.9759,0.9983,1.0167,0.9825,1.0084,0.9811,1.0418,1.0319,1.0148,1.0333,1.057,1.0156,1.0393,1.0249,1.0373,1.0541,1.024,1.0474,1.0231,1.0371,1.0292,1.0232,1.028,1.0295,1.044,0.9681,1.0175,1.0439,1.0068,0.9845,0.9946,1.0009,1.0182,1.0492,1.0585,1.0052,0.9686,0.9544,1.0203,1.0379,0.9613,1.0162,1.0305,1.0647,1.0162,1.0233,1.0162,0.9814,1.0176,1.0311,0.9877,1.0239,0.9911,1.0096,0.9684,0.9894,0.9991,1.0258,1.0007,1.0002,1.0509,0.9532,0.993,0.9748,1.0139,0.9981,1.0194,0.932,1.1108,1.1434,1.0315,1.1231,1.0726,1.0403,1.0485,1.0231,0.9921,1.039,0.9863,1.0441,1.0328,1.0327,1.0333,1.0614,1.0902,1.0231,1.0341,1.0017,1.002,1.0694,1.0734,0.987,0.9688,0.9917,1.0222,1.1688,1.3806,1.019,0.9913,1.0343,0.9876,0.9765,0.9799,1.0289,1.0104,1.0045,1.0091,1.0732,1.0498,0.9842,0.9621,1.0063,1.0393,1.0123,0.9812,1.0137,0.9983,1.1317,1.0163,1.0124,1.0132,1.0194,1.0642,0.9908,1.0158,0.9361,1.0301,1.0339
"17","1996-06-01",1.0508,1.0367,1.0149,1.0165,1.0379,0.9794,1.02,1.0397,1.0013,1.0257,1.0578,1.013,1.057,1.034,1.0079,0.9872,1.004,1.0044,1.0371,0.9923,1.0225,0.9887,1.0398,1.0377,1.0093,1.0262,1.0852,1.0191,1.0398,1.0386,1.0686,1.0587,1.0291,1.0535,1.0378,1.0482,1.0471,1.0539,1.0295,1.0439,1.0529,0.9731,1.0219,1.0452,1.0086,0.9994,0.9811,1.033,1.0001,1.0532,1.0646,1.0324,0.9543,0.9832,1.0333,1.0604,0.9839,1.0235,1.0332,1.0648,1.0343,1.0331,1.025,1.0104,1.0233,1.0489,1.0062,1.0263,1.0052,1.0178,0.9977,0.9813,0.9977,1.0344,1.0091,1.0043,1.0444,0.9776,0.9986,0.9797,1.0112,1.0073,1.0077,0.985,1.1025,1.2304,1.0505,1.1215,1.1012,1.0591,1.0544,1.0046,0.9931,1.043,0.9954,1.0585,1.0388,1.0478,1.0414,1.1216,1.0837,1.0403,1.0391,0.992,0.9985,1.0858,1.0856,0.9892,0.9761,1.0126,1.0398,1.1132,1.4822,1.0353,1.0143,1.0896,1.0149,1.0095,0.9992,1.0505,1.0164,0.9925,1.0361,1.0898,1.0799,1.022,0.9591,1.0006,1.0475,1.0409,0.9932,0.9873,1.0006,1.1372,1.0442,1.0073,1.023,0.9852,1.0984,0.9733,1.0064,1.0026,1.0275,1.046
